addgene_id,plasmid_name,symbol
135243,p667-UBC-CDK12-V5-miniTurbo_IDG-K,CDK12
135244,p667-UBC-CDK12-V5-TurboID_IDG-K,CDK12
135245,p667-UBC-CDK12-V5_IDG-K,CDK12
135246,p667-UBC-PKMYT1-V5-miniTurbo_IDG-K,PKMYT1
135247,p667-UBC-PKMYT1-V5-TurboID_IDG-K,PKMYT1
135248,p667-UBC-PKMYT1-V5_IDG-K,PKMYT1
135249,p667-UBC-TLK2-V5-miniTurbo_IDG-K,TLK2
135250,p667-UBC-TLK2-V5-TurboID_IDG-K,TLK2
135251,p667-UBC-TLK2-V5_IDG-K,TLK2
135252,p667-UBC-BRSK2-V5-miniTurbo_IDG-K,BRSK2
135253,p667-UBC-BRSK2-V5-TurboID_IDG-K,BRSK2
135254,p667-UBC-BRSK2-V5_IDG-K,BRSK2
135255,p667-UBC-AAK1-V5-miniTurbo_IDG-K,AAK1
135256,p667-UBC-AAK1-V5-TurboID_IDG-K,AAK1
135257,p667-UBC-AAK1-V5_IDG-K,AAK1
135258,p667-UBC-BRSK1-V5-miniTurbo_IDG-K,BRSK1
135259,p667-UBC-BRSK1-V5_IDG-K,BRSK1
135266,p663-UBC-miniTurbo-V5-CDK13_IDG-K,CDK13
135267,p663-UBC-TurboID-V5-CDK13_IDG-K,CDK13
135268,p663-UBC-V5-CDK13_IDG-K,CDK13
135269,p663-UBC-miniTurbo-V5-BRSK1_IDG-K,BRSK1
135270,p663-UBC-V5-BRSK1_IDG-K,BRSK1
135271,p663-UBC-miniTurbo-V5-BRSK2_IDG-K,BRSK2
135272,p663-UBC-TurboID-V5-BRSK2_IDG-K,BRSK2
135273,p663-UBC-V5-BRSK2_IDG-K,BRSK2
135276,pHAGE-CMV-Flag-CDK13_IDG-K,CDK13
135277,pHAGE-CMV-Flag-PKMYT1_IDG-K,PKMYT1
135278,pHAGE-CMV-Flag-TLK2_IDG-K,TLK2
135279,pHAGE-CMV-Flag-BRSK2_IDG-K,BRSK2
135280,pHAGE-CMV-Flag-AAK1_IDG-K,AAK1
135281,pHAGE-CMV-Flag-CDK12_IDG-K,CDK12
158164,p663-UBC-TurboID-V5-GSK3B_IDG-K,GSK3B
